time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
1440	6.01265043E7	1.2775296405971149E8	0.0	0.0	1436255.8	3978576.17814707	4.740768E7	1.0491172697659495E8	5408133.5	1.0826363631469943E7	5874435.0	1.17598371858672E7	2	1	0	0.2	0.4000000000000001	135	100	0	13.5	30.663496212923928
1500	5.71812584E7	1.166247916669949E8	0.0	0.0	1436255.8	4308767.399999998	4.17697875E7	8.372794446532267E7	6698814.1	1.4991782969611375E7	7276401.0	1.6284408398773625E7	2	1	0	0.2	0.4000000000000001	149	100	0	14.9	31.907522623983205
1560	6.0068055E7	1.3215936776958568E8	0.0	0.0	1128486.7	3385460.1	4.526775E7	9.486807198817997E7	6553385.3	1.7506211244341098E7	7118433.0	1.901563636532843E7	2	1	0	0.2	0.4000000000000001	160	100	0	16.0	33.2264954516723
1620	6.33614083E7	1.3220922084555717E8	0.0	0.0	718127.9	2154383.699999999	4.70373075E7	9.512230128708519E7	7480493.9	1.830568095952055E7	8125479.0	1.9884038167223703E7	2	1	0	0.2	0.4000000000000001	167	100	0	16.7	34.205408928998345
1680	1.002586408E8	2.09337324913288E8	0.0	0.0	1128486.7	3058825.065196441	7.4156805E7	1.5041076053189847E8	1.19706081E7	2.870285378650655E7	1.3002741E7	3.1177678746897895E7	2	1	0	0.2	0.4000000000000001	178	101	0	17.8	36.00222215363935
1740	9.09513987E7	1.9267654756054702E8	0.0	0.0	820717.6	2142135.825314361	6.7243185E7	1.3953006219140518E8	1.09707851E7	2.499475033899628E7	1.1916711E7	2.7149854234859698E7	2	1	0	0.2	0.4000000000000001	186	102	0	18.6	37.417108386405275
1800	8.5116821E7	1.8195005397957894E8	0.0	0.0	615538.2	1846614.5999999996	6.485634E7	1.3326183491670412E8	9416514.8	2.438305992777227E7	1.0228428E7	2.6485422493139807E7	2	1	0	0.2	0.4000000000000001	192	102	0	19.2	38.49363583762905
1860	5.50781304E7	1.3200681447541519E8	0.0	0.0	410358.8	940250.1315456225	4.01236875E7	9.433805598516785E7	6971493.1	1.7681623002156552E7	7572591.0	1.92061725215684E7	2	1	0	0.2	0.4000000000000001	196	103	0	19.6	39.26372371540937
1920	7.45708716E7	1.57490624658464E8	0.0	0.0	205179.4	615538.1999999998	5.893038E7	1.2148351828531145E8	7398690.2	1.7813877888181362E7	8036622.0	1.934983072293957E7	2	1	0	0.2	0.4000000000000001	198	103	0	19.8	39.64038344920493
1980	4.51065305E7	1.1318798794987452E8	0.0	0.0	205179.4	615538.1999999998	3.57615225E7	8.693302718015061E7	4381042.6	1.246187779579443E7	4758786.0	1.3536369079893766E7	2	1	0	0.2	0.4000000000000001	200	103	0	20.0	40.02249367543207
2040	5.96893197E7	1.5443905757262632E8	0.0	0.0	102589.7	307769.0999999999	4.86834075E7	1.2278902659957346E8	5226347.5	1.5170978375456324E7	5676975.0	1.6479054437732311E7	2	1	0	0.2	0.4000000000000001	201	103	0	20.1	40.21554425840834
2100	6.92249067E7	1.589389967498721E8	0.0	0.0	410358.8	940250.1315456225	5.415669E7	1.2182532988088119E8	7026028.9	1.752194743486271E7	7631829.0	1.90327293657817E7	2	1	0	0.2	0.4000000000000001	205	104	0	20.5	41.00548743765888
2160	5.07637904E7	1.1121603922933738E8	0.0	0.0	205179.4	410358.8	4.164633E7	9.0768049663511E7	4271971.0	9643228.998937234	4640310.0	1.0474690009847546E7	2	1	0	0.2	0.4000000000000001	207	105	0	20.7	41.40543442593013
2220	4.90045255E7	9.801100501230365E7	0.0	0.0	0.0	0.0	4.40743275E7	8.818366225556216E7	2363218.0	4810292.515758184	2566980.0	5225046.81417497	2	1	0	0.2	0.4000000000000001	207	105	0	20.7	41.40543442593013
2280	5.08931915E7	1.2503809214705603E8	0.0	0.0	102589.7	307769.0999999999	4.24282275E7	1.0189452905716312E8	4008381.3	1.1089575527909301E7	4353993.0	1.2045743807229215E7	2	1	0	0.2	0.4000000000000001	208	105	0	20.8	41.60240377670502
2340	5.56148429E7	1.3174906796621475E8	0.0	0.0	102589.7	307769.0999999999	4.823073E7	1.1216420193085994E8	3490291.2	9403468.407222668	3791232.0	1.0214256717735069E7	2	1	0	0.2	0.4000000000000001	209	105	0	20.9	41.80059808184567
2400	1.98287383E7	3.9676921740273975E7	0.0	0.0	102589.7	307769.0999999999	1.67490675E7	3.390628872349503E7	1427020.1	3378983.1857960606	1550061.0	3670326.7571061025	2	1	0	0.2	0.4000000000000001	210	105	0	21.0	42.0
2460	2.36377558E7	6.5034843165832646E7	0.0	0.0	102589.7	307769.0999999999	1.91359125E7	5.227736370440036E7	2108717.6	5971441.825545639	2290536.0	6486313.043205978	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2520	1.73897476E7	3.6615828912166774E7	0.0	0.0	0.0	0.0	1.6214085E7	3.3863381800774485E7	563536.6	1389682.3356718037	612126.0	1509503.889198037	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2580	2.28315613E7	4.577745188638244E7	0.0	0.0	0.0	0.0	2.17696725E7	4.360007842687678E7	509000.8	1111870.70465426	552888.0	1207738.7111275352	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2640	3.16615889E7	6.487845564057642E7	0.0	0.0	0.0	0.0	2.94240375E7	6.038272262536824E7	1072537.4	2163864.3591027693	1165014.0	2350437.6373781967	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2700	1.98213781E7	4.069368149440698E7	0.0	0.0	0.0	0.0	1.893015E7	3.905109888579322E7	427197.1	873755.5010768689	464031.0	949092.676238206	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2760	1.06262185E7	2.1261341262617767E7	0.0	0.0	0.0	0.0	1.02469725E7	2.049580421536457E7	181786.0	398273.1713545365	197460.0	432613.1848198804	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2820	2.16861522E7	4.3865528588996746E7	0.0	0.0	0.0	0.0	2.09466225E7	4.222031907923963E7	354482.7	948471.830273103	385047.0	1030251.2162967826	2	1	0	0.2	0.4000000000000001	211	106	0	21.1	42.200592412903404
2880	3.92720857E7	7.894339697962806E7	0.0	0.0	102589.7	307769.0999999999	3.64199625E7	7.28822858073185E7	1317948.5	3632821.6303453506	1431585.0	3946051.7263595266	2	1	0	0.2	0.4000000000000001	212	107	0	21.2	42.40235842497443
2940	2.54237637E7	5.154111070465167E7	0.0	0.0	0.0	0.0	2.4115365E7	4.939781267843142E7	627161.7	1653378.3978568276	681237.0	1795936.4221711748	2	1	0	0.2	0.4000000000000001	212	107	0	21.2	42.40235842497443
3000	2.00009123E7	4.5303946392868996E7	0.0	0.0	0.0	0.0	1.85597775E7	4.180593740372659E7	690786.8	1691293.8024902001	750348.0	1837120.9787316676	2	1	0	0.2	0.4000000000000001	212	107	0	21.2	42.40235842497443
3060	1.32492796E7	2.7377475453913122E7	52643.8	157931.40000000002	0.0	0.0	1.27984275E7	2.6510931105829835E7	190875.3	442397.80985761003	207333.0	480542.34943551023	3	1	0	0.3	0.45825756949558405	212	107	0	21.2	42.40235842497443
3120	3.48569792E7	7.174347788123752E7	0.0	0.0	1128486.7	3385460.1	3.1358205E7	6.584652054238116E7	1136162.5	2938881.4753332688	1234125.0	3192278.4819474947	3	1	0	0.3	0.45825756949558405	223	107	0	22.3	41.97868506754351
