time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
1440	5.91737175E7	1.32324975646181E8	0.0	0.0	102589.7	307769.1	5.03295075E7	1.1237843594260202E8	4190167.3	9527429.233430348	4551453.0	1.0348905726695986E7	3	2	0	0.3	0.6403124237432849	261	171	0	26.1	55.25296372141498
1500	3.59717024E7	8.072933780071953E7	0.0	0.0	0.0	0.0	3.28808475E7	7.351049546103641E7	1481555.9	3471600.991758081	1609299.0	3770930.279738542	3	2	0	0.3	0.6403124237432849	261	171	0	26.1	55.25296372141498
1560	3.02089462E7	6.239768961949713E7	0.0	0.0	205179.4	615538.2	2.44857375E7	5.2612549857252754E7	2644986.3	5505212.758493718	2873043.0	5979884.651690282	3	2	0	0.3	0.6403124237432849	263	173	0	26.3	55.7782215564462
1620	4.77857082E7	9.987275918794529E7	0.0	0.0	410358.8	1231076.4	3.9259485E7	7.959880758312918E7	3890220.4	1.0597188324751468E7	4225644.0	1.1510901865960112E7	3	2	0	0.3	0.6403124237432849	267	177	0	26.7	56.83317693038108
1680	2.56073231E7	5.970766661184252E7	0.0	0.0	0.0	0.0	2.23458075E7	5.2194626041981146E7	1563359.6	3602116.0802924493	1698156.0	3912698.674345368	3	2	0	0.3	0.6403124237432849	267	177	0	26.7	56.83317693038108
1740	4.28537428E7	1.1729649785684201E8	52643.8	157931.40000000002	102589.7	307769.1	3.76545375E7	1.024608412941264E8	2417753.8	6984841.709933201	2626218.0	7587090.55726739	4	2	0	0.4	0.66332495807108	268	178	0	26.8	57.097810816177535
1800	4.91182413E7	1.0343192878721592E8	0.0	0.0	307769.1	923307.2999999998	4.52265975E7	9.559371438655789E7	1717877.7	3845633.312223152	1865997.0	4177212.5126884556	4	2	0	0.4	0.66332495807108	271	178	0	27.1	56.96393595951741
1860	5.31727587E7	9.940358274956256E7	0.0	0.0	1231076.4	3693229.1999999993	4.67080875E7	8.889192436519702E7	2508646.8	5475984.549502341	2724948.0	5948136.320424743	4	2	0	0.4	0.66332495807108	283	178	0	28.3	56.56863088320239
1920	5.61926603E7	1.0538892728029913E8	0.0	0.0	512948.5	1538845.5	5.20579125E7	9.97452474902622E7	1736056.3	3329327.586758144	1885743.0	3616389.740030933	4	2	0	0.4	0.66332495807108	288	178	0	28.8	56.470877450239776
1980	6.92028276E7	1.4425125354403952E8	0.0	0.0	1231076.4	3070844.0704953806	5.6708145E7	1.2216219265352865E8	5399044.2	1.0914368462656416E7	5864562.0	1.1855429992607439E7	4	2	0	0.4	0.66332495807108	300	180	0	30.0	56.92099788303083
2040	3.57201895E7	6.190896014191892E7	0.0	0.0	615538.2	1846614.5999999996	2.83540725E7	4.716961590701748E7	3235790.8	8289740.5847396655	3514788.0	9004500.763880027	4	2	0	0.4	0.66332495807108	306	180	0	30.6	56.94945127040295
2100	5.83674754E7	9.219969710242815E7	0.0	0.0	718127.9	2154383.6999999993	4.8642255E7	7.476307314580658E7	4317417.5	1.1302444958316755E7	4689675.0	1.2276967321296616E7	4	2	0	0.4	0.66332495807108	313	180	0	31.3	57.05444767938779
2160	6.76818469E7	1.2252825768022199E8	52643.8	157931.40000000002	1128486.7	3058825.065196441	5.004144E7	8.428614705686234E7	7889512.4	1.7971355133649465E7	8569764.0	1.952088601262156E7	5	2	0	0.5	0.806225774829855	324	180	0	32.4	57.43901113354929
2220	5.7501925E7	9.810733048482972E7	52643.8	157931.40000000002	1538845.5	3284472.9729048237	4.4362395E7	7.174069422807463E7	5535383.7	1.308963028510245E7	6012657.0	1.4218247808391897E7	6	2	0	0.6	0.7999999999999999	339	180	0	33.9	58.71362703836307
2280	7.88707511E7	1.1208552596720305E8	0.0	0.0	3385460.1	5582425.85467756	6.13583775E7	8.710740061014797E7	6771528.5	1.243037793785972E7	7355385.0	1.3502153232976029E7	6	2	0	0.6	0.7999999999999999	372	180	0	37.2	60.21428401965766
2340	1.150116693E8	1.7928644016551787E8	0.0	0.0	3590639.5	6311559.805384929	8.58029625E7	1.3111050228458494E8	1.22796443E7	2.1753619384130094E7	1.3338423E7	2.3629265639765047E7	6	2	0	0.6	0.7999999999999999	407	180	0	40.7	62.308988115680386
2400	8.75538264E7	1.1368466415821747E8	0.0	0.0	1846614.6	3365192.3694779826	6.59674575E7	8.529436158303347E7	9461961.3	1.4967759066252131E7	1.0277793E7	1.6258313100140525E7	6	2	0	0.6	0.7999999999999999	425	180	0	42.5	63.130420559346824
2460	1.52163294E8	2.0219381080729905E8	0.0	0.0	1949204.3	3447074.98475673	1.20082995E8	1.643861633997984E8	1.44428977E7	2.249147055425832E7	1.5688197E7	2.443073600631428E7	6	2	0	0.6	0.7999999999999999	444	180	0	44.4	64.58358924680479
2520	1.410072239E8	1.983929661082713E8	0.0	0.0	2256973.4	4174783.1896189577	1.020582E8	1.3794438314063615E8	1.75877955E7	2.7784378538512442E7	1.9104255E7	3.0180010486036696E7	6	2	0	0.6	0.7999999999999999	466	180	0	46.6	65.783280550608
2580	1.209091171E8	1.9007759283486816E8	0.0	0.0	1538845.5	3284472.9729048237	8.6337945E7	1.2974500261939706E8	1.58335606E7	2.783896349362226E7	1.7198766E7	3.023930187941124E7	6	2	0	0.6	0.7999999999999999	481	180	0	48.1	66.82731477472367
2640	1.951391111E8	2.7258717474601275E8	0.0	0.0	1744024.9	3045030.9698105347	1.513177425E8	2.0655300663020167E8	2.01691567E7	3.31141911002167E7	2.1908187E7	3.59693715393308E7	6	2	0	0.6	0.7999999999999999	498	180	0	49.8	68.34442186455307
2700	1.048535577E8	1.5573282821666825E8	0.0	0.0	718127.9	1592620.4248369068	7.94654775E7	1.1433501359604833E8	1.18251793E7	1.987750943319496E7	1.2844773E7	2.1591393246337324E7	6	2	0	0.6	0.7999999999999999	505	180	0	50.5	69.28527982190734
2760	1.300431013E8	1.7548215477415243E8	0.0	0.0	923307.3	1483122.088073942	9.77371875E7	1.2660655410555334E8	1.50427915E7	2.4679424627955742E7	1.6339815E7	2.6807340427954525E7	6	2	0	0.6	0.7999999999999999	514	180	0	51.4	70.04170186396101
2820	1.113795213E8	1.5646616608961642E8	0.0	0.0	410358.8	940250.1315456224	8.5844115E7	1.1596088117906034E8	1.20433225E7	1.9750329439312313E7	1.3081725E7	2.1453247505784877E7	6	2	0	0.6	0.7999999999999999	518	180	0	51.8	70.20797675478192
2880	8.13990658E7	1.2545200272085226E8	0.0	0.0	307769.1	923307.2999999999	6.48974925E7	9.805873967609674E7	7762262.2	1.3188395770156223E7	8431542.0	1.4325529076909376E7	6	2	0	0.6	0.7999999999999999	521	180	0	52.1	70.73393810611708
2940	9.42319049E7	1.2000026321661438E8	0.0	0.0	410358.8	680503.0845102466	7.851897E7	9.975858323865783E7	7335065.1	1.0870745801731842E7	7967511.0	1.180804608721227E7	6	2	0	0.6	0.7999999999999999	525	180	0	52.5	71.17337985511156
3000	1.382109746E8	1.8022148317129397E8	0.0	0.0	820717.6	1005169.6714608136	1.0913643E8	1.4197812893368375E8	1.3543057E7	1.8172327300772667E7	1.471077E7	1.973918645446058E7	6	2	0	0.6	0.7999999999999999	533	182	0	53.3	72.05976686057207
3060	8.74162043E7	1.4917034097540402E8	0.0	0.0	307769.1	656894.5945809647	7.0535385E7	1.1766005688885736E8	7944048.2	1.4946092929341057E7	8629002.0	1.6234778859910473E7	6	2	0	0.6	0.7999999999999999	536	182	0	53.6	72.32731157730115
3120	9.88305619E7	1.4390038726602748E8	0.0	0.0	102589.7	307769.1	8.329266E7	1.2121352737911217E8	7398690.2	1.0771506969558807E7	8036622.0	1.170025065851651E7	6	2	0	0.6	0.7999999999999999	537	182	0	53.7	72.3713341040498
3180	6.06962529E7	8.971045517206001E7	0.0	0.0	0.0	0.0	5.26752E7	7.774446826981486E7	3844773.9	5749447.474002462	4176279.0	6245177.836667984	6	2	0	0.6	0.7999999999999999	537	182	0	53.7	72.3713341040498
3240	7.38153482E7	1.0973995612337473E8	0.0	0.0	307769.1	656894.5945809647	6.370407E7	9.499558812232202E7	4699168.1	7326793.340301519	5104341.0	7958526.030475053	6	2	0	0.6	0.7999999999999999	540	183	0	54.0	72.64296249465602
3300	7.21416033E7	9.758539761400928E7	0.0	0.0	102589.7	307769.1	6.43213575E7	8.56533804462133E7	3699345.1	5848461.3328399705	4018311.0	6352728.894318488	6	2	0	0.6	0.7999999999999999	541	184	0	54.1	72.82094478925688
3360	1.163769762E8	2.0494131643491653E8	0.0	0.0	205179.4	615538.2	1.01646675E8	1.7456054236334524E8	6962403.8	1.4713058540720398E7	7562718.0	1.5981651719332892E7	6	2	0	0.6	0.7999999999999999	543	186	0	54.3	73.17930035194378
3420	7.40797472E7	1.0857351306245244E8	52643.8	157931.40000000002	615538.2	1535422.0352476903	6.48974925E7	9.387624919454804E7	4081095.7	6895472.707860949	4432977.0	7490015.957742747	7	2	0	0.7	0.9	549	186	0	54.9	73.45808328563984
3480	4.80620214E7	8.876799867493889E7	0.0	0.0	718127.9	2154383.6999999993	4.12759575E7	7.58732136782714E7	2908576.0	6250372.651996936	3159360.0	6789293.916271412	7	2	0	0.7	0.9	556	186	0	55.6	73.83115873396544
3540	7.16452153E7	1.0982831284663454E8	0.0	0.0	1846614.6	4872740.769626375	5.87246175E7	8.944532559060384E7	5308151.2	8245473.106153375	5765832.0	8956416.443186192	7	2	0	0.7	0.9	574	187	0	57.4	75.11484540355521
3600	9.71132265E7	1.5415692268465698E8	0.0	0.0	1744024.9	5232074.699999999	7.98770025E7	1.1969655086772262E8	7425958.1	1.6759399903157817E7	8066241.0	1.8204433261513773E7	7	2	0	0.7	0.9	591	187	0	59.1	76.55514352412906
3660	8.48593762E7	1.5128297352780426E8	52643.8	157931.40000000002	1128486.7	2731661.472653193	6.59674575E7	1.1217616697441967E8	8489406.2	1.917201203349421E7	9221382.0	2.0825066265464704E7	8	2	0	0.8	0.8717797887081347	602	188	0	60.2	77.53038114184659
3720	1.12960985E8	2.0522708954430082E8	0.0	0.0	2564742.5	4706844.057276537	8.3374965E7	1.4516607226485127E8	1.29522525E7	2.7967917889175843E7	1.4069025E7	3.0379375014559217E7	8	2	0	0.8	0.8717797887081347	627	188	0	62.7	77.78181021292832
3780	1.250314358E8	1.7502479021522364E8	0.0	0.0	2051794.0	3670360.6878609625	9.8025255E7	1.2957847326687011E8	1.19615188E7	2.2301675107067082E7	1.2992868E7	2.422457596647413E7	8	2	0	0.8	0.8717797887081347	647	188	0	64.7	78.21259489366147
3840	8.98664168E7	1.2958535559375137E8	0.0	0.0	1846614.6	5206869.453205816	6.54736275E7	9.36708012560514E7	1.08071777E7	1.7037938308561657E7	1.1738997E7	1.850698787810164E7	8	2	0	0.8	0.8717797887081347	665	188	0	66.5	77.52838189979202
3900	1.088726882E8	1.6718173330940217E8	0.0	0.0	1744024.9	3839925.7559322794	8.16054075E7	1.2072940704277378E8	1.22341978E7	2.149215678055664E7	1.3289058E7	2.3345259139255576E7	8	2	0	0.8	0.8717797887081347	682	188	0	68.2	77.81362348586525
3960	9.61946321E7	1.4563785932717988E8	0.0	0.0	1128486.7	2731661.472653193	7.045308E7	1.0046467373468135E8	1.17979114E7	2.1308808833155613E7	1.2815154E7	2.3146102517217536E7	8	2	0	0.8	0.8717797887081347	693	189	0	69.3	77.959027700453
4020	8.65692857E7	1.2471916558809462E8	0.0	0.0	615538.2	1313789.1891619295	6.98357925E7	9.941375101741211E7	7725905.0	1.3465913751417361E7	8392050.0	1.4626975286077432E7	8	2	0	0.8	0.8717797887081347	699	189	0	69.9	78.17474016586176
4080	1.182607914E8	1.7453274076246426E8	0.0	0.0	718127.9	1301717.363301454	9.15643125E7	1.3067305548057155E8	1.2452341E7	2.196231442106924E7	1.352601E7	2.385595483471957E7	8	2	0	0.8	0.8717797887081347	706	190	0	70.6	78.56233194094992
4140	8.96072685E7	1.1975762660825749E8	0.0	0.0	205179.4	410358.8	7.390989E7	9.839014551071425E7	7425958.1	1.2685553435678944E7	8066241.0	1.3779330539255854E7	8	2	0	0.8	0.8717797887081347	708	190	0	70.8	78.68646643483235
4200	9.96556711E7	1.8949993669885927E8	0.0	0.0	923307.3	1860808.6182258534	7.63378875E7	1.4499892268935406E8	1.07344633E7	2.1101136383136224E7	1.1660013E7	2.2920524078939404E7	8	2	0	0.8	0.8717797887081347	717	190	0	71.7	79.2061235006486
4260	6.49188313E7	1.2909352852853668E8	0.0	0.0	410358.8	820717.6	5.12348625E7	1.031178927849995E8	6362510.0	1.2341314844953684E7	6911100.0	1.3405410918797677E7	8	2	0	0.8	0.8717797887081347	721	190	0	72.1	79.47634868311452
4320	1.044437369E8	1.697481790099235E8	0.0	0.0	410358.8	680503.0845102466	8.27576775E7	1.3130955408823812E8	1.01981946E7	1.8276039740643267E7	1.1077506E7	1.985184121542594E7	8	2	0	0.8	0.8717797887081347	725	190	0	72.5	79.65331129337939
4380	9.80521194E7	1.4967660822345796E8	0.0	0.0	307769.1	470125.0657728111	8.28399825E7	1.2428123814420412E8	7144189.8	1.2339252855484743E7	7760178.0	1.3403171139933862E7	8	2	0	0.8	0.8717797887081347	728	191	0	72.8	79.94097822768995
4440	8.03039936E7	1.3528423386310387E8	0.0	0.0	205179.4	615538.2	6.6749355E7	1.0697414869235627E8	6398867.2	1.3668276460867863E7	6950592.0	1.48467861659477E7	8	2	0	0.8	0.8717797887081347	730	191	0	73.0	79.9637417833858
4500	1.209810041E8	1.82411563699127E8	0.0	0.0	410358.8	680503.0845102468	1.0139976E8	1.5144133419287533E8	9189282.3	1.5085688947840394E7	9981603.0	1.6386411162798919E7	8	2	0	0.8	0.8717797887081347	734	192	0	73.4	80.26854925809984
